msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_001,GENE1001-2-3-24(N01),11:05.9,neutral,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),11:43.8,neutral,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),11:43.8,neutral,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),11:47.5,neutral,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),20:25.0,neutral,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),20:26.7,sad,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_001,GENE1001-2-3-24(N01),21:00.5,sad,10,263,214,87,12.7,31.2,49.1,2714.7,2033.4,681.3,2589.2,125.5
student_002,GENE1001-2-3-24(N01),19:41.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),19:41.7,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),19:51.3,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),20:56.5,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),21:03.1,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),21:06.2,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),22:31.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),22:42.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),22:44.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),32:56.2,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),35:58.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),44:35.3,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),44:43.3,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),58:40.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),58:40.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),58:42.4,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),58:46.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),58:46.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),00:09.8,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),00:26.8,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),01:31.4,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),17:22.9,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),25:41.1,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),27:50.5,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),27:54.9,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),29:29.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),29:45.3,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),29:51.2,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),35:22.5,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),35:22.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:13.7,sad,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:14.2,sad,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:14.4,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:14.5,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:14.5,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),51:14.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),56:28.8,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),56:47.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),56:47.6,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:07.4,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:07.9,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:08.0,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:08.1,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:08.2,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
student_002,GENE1001-2-3-24(N01),04:20.3,neutral,7.6,259,161,67,9,21.6,49.6,1450.5,1138.8,311.7,1229.4,221.1
